Project Website,Lead Signal Date,Investment Announcement Date,Project Description (100 words),Investment Stage,Lead Time,Lead Time (Months),Round Investment Amount ($M),Total Money Raised ($M),Latest Round Co-Investors,Previous Round Investors
www.bio-aesthetics.com/,10/16/2022,09/26/2023,"BioAesthetics is a pioneering company dedicated to transforming lives through advancements in biomaterials, introducing their groundbreaking product, NACgraft – the Nipple-Areolar Complex Graft. NACgraft represents a revolutionary leap forward in breast reconstruction, specifically designed for breast cancer survivors who have undergone mastectomies. This innovative graft is cell-free and biologically-derived, allowing the patient's body to naturally integrate it, resulting in a real and living nipple and areola. Unlike traditional grafts or transplants, NACgraft eliminates the need for immune-suppressing drugs, promoting a safe and authentic healing process. BioAesthetics recognizes the importance of individuality, working with physicians to provide customized NACgrafts tailored to each patient's unique preferences. With a strong commitment to patient well-being, BioAesthetics is reshaping the field of nipple reconstruction with cutting-edge biomaterials and off-the-shelf solutions.",Convertible Note,345,12,-,6.7,"SOSV, IndieBio",National Science Foundation
https://diadembio.com/,10/26/2022,05/16/2023,"Diadem Biotherapeutics pioneers immunotherapy by finely tuning immunity, unlocking the vast potential of activating immune receptors to combat diverse diseases. Our breakthrough science revolves around decorated extracellular vesicles, employing the DECOSTAR™ platform to navigate the complexities of agonist signaling effectively. Awarded the prestigious 1st AMGEN Golden Ticket, we engineer first-in-class solutions for cancer and autoimmune conditions. Situated at BioLabs in The Lundquist Institute, Torrance, CA, we're committed to advancing the frontiers of biomedicine. Join us in reshaping the landscape of immunotherapy and realizing the promise of personalized medicine. Discover more about Diadem Biotherapeutics, where innovation meets impact.",Convertible Note,202,7,-,-,"SOSV, IndieBio","SOSV, IndieBio, Creative Destruction Lab (CDL)"
www.equipmentshare.com,10/16/2022,05/10/2023,"EquipmentShare is a transformative force in the construction industry, offering a comprehensive suite of solutions to enhance productivity and efficiency. From renting the perfect tool to purchasing cutting-edge machinery, EquipmentShare empowers contractors with seamless access to essential equipment and smart technology. Their T3 operating system revolutionizes construction workflows by centralizing data and streamlining operations, providing complete visibility over jobsites and fleets. Through telematics, preventive maintenance, and real-time alerts, EquipmentShare ensures equipment health and operational excellence. As problem solvers rooted in construction expertise, they are dedicated to overcoming industry challenges, empowering contractors to build with control and confidence.",Debt Financing,206,7,640,2900,Capital One,"Tru Arrow Partners, Sound Ventures, RedBird Capital Partners, BDT & MSD Partners, Anchor Capital GP, Capital One Ventures, Tiger Global Management, The Spruce House Partnership, Sand Hill Angels, Romulus Capital, 
Red Hook Capital, RedBird Capital Partners, Left Lane Capital, Insight Partners, Anchorage Capital Group"
https://unity.com/,07/02/2023,11/10/2023,"Unity is the ultimate destination for creators, offering a versatile platform for game development, film and animation, and various industries. With tools and services tailored for creation, launch, and beyond, Unity empowers creators to craft amazing experiences across over 20 platforms and billions of devices. Unity's widespread adoption is evident through its 3.6 billion monthly downloads of ""Made with Unity"" applications, and it's the choice of 88% of the top 1,000 games for their growth. Unity AI, like Unity Muse, revolutionizes game development by incorporating AI into the creative process. Whether you're a game developer, filmmaker, or industry professional, Unity provides the tools and support to bring your vision to life and thrive in the world of digital creation.",Post-IPO Debt,131,5,1000,2300,Silver Lake,FinSight Ventures
www.archer.com,10/15/2022,08/10/2023,"Archer, a pioneering force in electric vertical takeoff and landing (eVTOL) aircraft, celebrates key milestones in its flight test program, marking a significant leap in the development of its innovative electric powertrain system. Purpose-built by a world-class engineering team, Archer's proprietary technology boasts superior power density and efficiency, underpinned by existing mass production cells adhering to the highest safety standards. With a diversified commercialization strategy, including direct sales to major players like United Airlines and plans for urban air mobility, Archer aims to deploy 6000 aircraft by 2030. The company's timeline outlines a commitment to early operations, mass-market presence, and autonomous flight innovation.",Post-IPO Equity,299,11,215,1300,"United Airlines, The Boeing Company, Stellantis, ARK Investment Management","Stellantis, United Airlines, Putnam Investments, Mubadala Capital Ventures, Marc Lore, Ken Moelis, Federated Kaufmann Fund, EXOR N.V., Brett Adcock, Baron Capital, Adam Goldstein, Access Industries, Troy Capital Partners, Sand Hill Angels, Pareto Holdings, Lee Fixel, Jon Oringer, Jennifer Lopez, Greycroft, Global Founders Capital, FJ Labs, Edward Lando, A-Rod Corp, Adam Goldstein"
www.lemonade.com,10/16/2022,07/02/2023,"Lemonade disrupts insurance norms, offering instant policies, competitive rates, and compassionate service. Praised by users and rating agencies alike, Lemonade boasts a near-perfect rating and quick claims processing, revolutionizing the insurance landscape. With endorsements echoing simplicity and savings, Lemonade transforms the mundane task of insurance into a seamless, delightful experience. Its innovative approach, driven by Maya, an AI bot, crafts tailored policies in minutes, encouraging users to switch for better coverage and societal impact. As a Public Benefit Corporation and B-Corp, Lemonade prioritizes social welfare, backed by A-rated security and renowned reinsurers. From renters to pet owners, Lemonade ensures affordability and accessibility for all.",Post-IPO Equity,259,9,150,631.5,General Catalyst,"Veligera Capital, QD Ventures, Mindrock Capital, G Squared, Thrive Capital, SoftBank, OurCrowd, Launchbay Capital, Inventure Partners, Google Ventures, General Catalyst, eBrands, Allianz, Champel Capital, Tusk Venture Partners, Sound Ventures, Sequoia Capital Israel, Aleph, Allianz X, XL Innovate, Generation Ventures, Counterpart Advisors, Expansion Venture Capital"
https://wind.app/,07/19/2023,11/28/2023,"Wind.app, a transformative force in global financial transactions, provides a seamless solution for transferring money in the Philippines and withdrawing in local currency. With an emphasis on reducing fees, Wind's Cash In/Out API facilitates easy integration, enabling businesses to onboard users effortlessly. The Wind Borderless App ensures instant, fee-free global money transfers, emphasizing self-custody wallets and supporting over 100 tokens and fiat currencies. Offering a lightning-fast Payments API with personalized interfaces, Wind stands out with minimal fees, self-custody wallets, and diverse financial possibilities, fostering a secure, user-centric, and growth-oriented financial ecosystem.",Pre Seed,132,5,3.8,3.9,"Tiny VC, The Spartan Group, Saison Capital, Global Founders Capital, Alumni Ventures",XRPL Accelerator
www.qomodo.me/,7/14/2023,11/07/2023,"Qomodo is the revolutionary digital payment system designed to empower businesses with fast and efficient payment solutions. With Qomodo, you can send bills and collect payments instantly, providing a seamless and hassle-free experience for your customers. Qomodo ensures that your cash flow improves immediately, leading to increased customer satisfaction and loyalty. The platform offers three flexible payment solutions, making it easy for your customers to pay in a way that suits them, whether through deferred payments, immediate transactions, or mobile payments. Qomodo also boasts a lightning-fast activation process, clear costs, and 24/7 assistance, making it a reliable and convenient choice for businesses. Join over 500 merchants already growing with Qomodo and experience the benefits of enhanced cash flow and improved customer relationships.",Pre Seed,116,4,34.5,34.5,"Will Neale, The Techshop, Stiven Muccioli, Simone Mancini, Serge Chiaramonte, Raffaele Terrone, Proximity Capital, Primo Ventures, Plug and PLay Tech Center, Pietro Invernizzi, Notion Capital, Mark Ransford, Lumen Ventures, Luca Ascani, Kai Hansen, Ithaca Investments, Giuseppe Lacerenza, Giorgio Tinacci, Freddy Kelly, Fasanara Capital, Exor Ventures, Christer Holloman, Benedetta Arese Lucini, Attilio Mazzilli, Andrea Gennarini",-
https://www.carpecarbon.com/,09/02/2023,11/15/2023,"CarpeCarbon emerges as a crucial player in the battle against climate change, focusing on extracting CO2 from the atmosphere through their innovative Direct Air Capture (DAC) technology. With global CO2 concentrations rising despite climate diplomacy efforts, CarpeCarbon's scalable and energy-efficient DAC system stands out by turning captured CO2 into stone, achieving permanent storage in geological formations. The technology, designed for global deployment, ensures resilience, cost-effectiveness, and independence from critical minerals. Comprising a team with 65 years of collective research experience, CarpeCarbon envisions catalyzing a positive feedback loop in the DAC industry for cheaper, reliable carbon removal, aiming to significantly mitigate climate change and urgently addressing the need for immediate action in the face of escalating global warming.",Pre Seed,74,3,2,2,"Tech4Planet, Finpiemonte, Club degli Investitori, 360 Capital",-
https://tappi.app/,06/01/2023,12/05/2023,"Tappi is a dynamic company that empowers businesses to boost sales and foster customer relationships effortlessly. With Tappi's suite of tools, companies can expand their online presence, reaching over 10 million satisfied consumers and supporting 100,000 businesses, while accumulating 4 million customer reviews. By signing up, businesses receive a free website, enabling them to be discovered, advertise on social media without credit card constraints, build comprehensive customer profiles, and harness the power of bulk SMS/offers. Tappi aids in enhancing online reputations to attract more customers, making it the go-to platform for converting one-time customers into loyal advocates.",Pre Seed Round,187,7,1.5,1.7,"Resilience17, Reflect Ventures. Orbit Startups, Mercy Corps Ventures, growX ventures, Digital Currency Group, Chui Ventures","Orbit Startups, Mercy Corps Ventures"
